,assists,blocks,fg_attempts,fg_made,ft_attempts,ft_made,opponent,player,points,position,rebounds,salary,stats,steals,team,threes,turnovers,date,away,minutes_played,team_points,opponent_points,dk_pt
0,5,0,15,8,2,2,nyk,"Beasley, Malik",23,PG/SG,6,4100,23pt 6rb 5as 1st 5trey 8-15fg 2-2ft,1,den,5,0,2019-01-01,False,29.93,115,108,42.5
1,6,0,21,8,8,8,sac,"Lillard, Damian",25,PG,6,8700,25pt 6rb 6as 1st 5to 1trey 8-21fg 8-8ft,1,por,1,5,2019-01-01,True,41.9,113,108,41.5
2,8,1,13,6,6,2,lac,"Simmons, Ben",14,PG/SF,9,8800,14pt 9rb 8as 1st 1bl 4to 6-13fg 2-6ft,1,phi,0,4,2019-01-01,True,32.83,119,113,39.25
3,9,1,20,7,2,0,den,"Mudiay, Emmanuel",15,PG,3,5600,15pt 3rb 9as 2st 1bl 4to 1trey 7-20fg 0-2ft,2,nyk,1,4,2019-01-01,True,31.72,108,115,36.75
4,3,0,19,8,9,5,phi,"Williams, Louis",22,PG/SG,4,6500,22pt 4rb 3as 3st 3to 1trey 8-19fg 5-9ft,3,lac,1,3,2019-01-01,False,30.8,113,119,36.5
5,6,0,14,7,4,4,det,"Bledsoe, Eric",18,PG/SG,4,6200,18pt 4rb 6as 1st 7-14fg 4-4ft,1,mil,0,0,2019-01-01,False,29.62,121,98,34.0
6,8,1,17,6,3,2,tor,"Rubio, Ricky",14,PG,4,5800,14pt 4rb 8as 1bl 2to 6-17fg 2-3ft,0,uta,0,2,2019-01-01,True,31.32,116,122,32.0
7,3,0,23,7,3,3,tor,"Mitchell, Donovan",19,PG/SG,4,7100,19pt 4rb 3as 1st 2trey 7-23fg 3-3ft,1,uta,2,0,2019-01-01,True,35.07,116,122,31.5
8,1,0,9,6,2,2,sac,"Curry, Seth",18,PG/SG,1,3100,18pt 1rb 1as 3st 1to 4trey 6-9fg 2-2ft,3,por,4,1,2019-01-01,True,21.97,113,108,28.25
9,3,1,6,4,4,3,lac,"McConnell, T.J.",11,PG/SG,2,3600,11pt 2rb 3as 4st 1bl 3to 4-6fg 3-4ft,4,phi,0,3,2019-01-01,True,28.35,119,113,26.5
10,5,0,7,6,0,0,det,"Brogdon, Malcolm",13,PG/SG,4,5600,13pt 4rb 5as 1to 1trey 6-7fg,0,mil,1,1,2019-01-01,False,25.53,121,98,25.5
11,3,0,10,8,1,1,mil,"Jackson, Reggie",19,PG/SG,0,4800,19pt 3as 3to 2trey 8-10fg 1-1ft,0,det,2,3,2019-01-01,True,22.37,98,121,23.0
12,5,1,12,4,0,0,nyk,"Murray, Jamal",8,PG/SG,3,7600,8pt 3rb 5as 1st 1bl 1to 4-12fg,1,den,0,1,2019-01-01,False,32.35,115,108,22.75
13,2,1,19,8,2,0,sac,"McCollum, C.J.",16,PG/SG,1,6600,16pt 1rb 2as 1bl 1to 8-19fg 0-2ft,0,por,0,1,2019-01-01,True,38.67,113,108,21.75
14,2,0,19,6,1,1,por,"Fox, De'Aaron",13,PG,2,8200,13pt 2rb 2as 2st 2to 6-19fg 1-1ft,2,sac,0,2,2019-01-01,False,37.82,108,113,21.5
15,5,0,7,4,0,0,phi,"Gilgeous-Alexander, Shai",8,PG/SG,2,4200,8pt 2rb 5as 2st 2to 4-7fg,2,lac,0,2,2019-01-01,False,20.12,113,119,21.0
16,5,0,6,4,0,0,den,"Ntilikina, Frank",10,PG/SG,0,3300,10pt 5as 1st 2trey 4-6fg,1,nyk,2,0,2019-01-01,True,18.25,108,115,20.5
17,5,0,5,3,2,1,uta,"VanVleet, Fred",8,PG/SG,4,5500,8pt 4rb 5as 2to 1trey 3-5fg 1-2ft,0,tor,1,2,2019-01-01,False,32.33,122,116,20.0
18,4,0,4,3,5,2,det,"Hill, George",8,PG/SG,3,3500,8pt 3rb 4as 1st 1to 3-4fg 2-5ft,1,mil,0,1,2019-01-01,False,19.52,121,98,19.25
19,3,1,11,4,0,0,tor,"Exum, Dante",8,PG/SG,3,4400,8pt 3rb 3as 1bl 4-11fg,0,uta,0,0,2019-01-01,True,18.35,116,122,18.25
20,0,0,6,3,7,5,mil,"Thomas, Khyri",13,SG,1,3000,13pt 1rb 1st 2trey 3-6fg 5-7ft,1,det,2,0,2019-01-01,True,19.53,98,121,17.25
21,4,0,8,2,0,0,nyk,"Morris, Monte",5,PG,3,4700,5pt 3rb 4as 1to 1trey 2-8fg,0,den,1,1,2019-01-01,False,22.77,115,108,14.75
22,3,0,7,0,0,0,mil,"Brown, Bruce",0,PG/SG,8,3300,0pt 8rb 3as 0-7fg,0,det,0,0,2019-01-01,True,28.85,98,121,14.5
23,2,0,9,3,0,0,den,"Trier, Allonzo",7,PG/SG,2,3400,7pt 2rb 2as 1trey 3-9fg,0,nyk,1,0,2019-01-01,True,19.33,108,115,13.0
24,2,0,4,4,0,0,por,"Ferrell, Yogi",8,PG/SG,0,3100,8pt 2as 1st 4-4fg,1,sac,0,0,2019-01-01,False,14.55,108,113,13.0
25,2,0,5,1,4,4,nyk,"Harris, Gary",6,SG,2,5500,6pt 2rb 2as 1-5fg 4-4ft,0,den,0,0,2019-01-01,False,19.87,115,108,11.5
26,0,0,8,4,1,0,uta,"Wright, Delon",8,PG/SG,0,3500,8pt 2st 2to 4-8fg 0-1ft,2,tor,0,2,2019-01-01,False,18.32,122,116,11.0
27,1,0,3,1,4,2,phi,"Beverley, Patrick",5,PG/SG,3,3700,5pt 3rb 1as 1trey 1-3fg 2-4ft,0,lac,1,0,2019-01-01,False,33.1,113,119,10.75
28,1,0,7,3,0,0,phi,"Bradley, Avery",6,SG,0,3900,6pt 1as 3-7fg,0,lac,0,0,2019-01-01,False,29.15,113,119,7.5
29,0,0,2,1,0,0,lac,"Shamet, Landry",3,PG/SG,2,3200,3pt 2rb 1trey 1-2fg,0,phi,1,0,2019-01-01,True,13.47,119,113,6.0
30,3,0,7,0,0,0,mil,"Galloway, Langston",0,PG/SG,0,3300,0pt 3as 0-7fg,0,det,0,0,2019-01-01,True,10.33,98,121,4.5
31,1,0,5,0,0,0,mil,"Calderon, Jose",0,PG,2,3100,0pt 2rb 1as 1to 0-5fg,0,det,0,1,2019-01-01,True,16.17,98,121,3.5
32,1,1,0,0,0,0,det,"DiVincenzo, Donte",0,PG/SF,0,3100,0pt 1as 1bl 1to,0,mil,0,1,2019-01-01,False,3.1,121,98,3.0
33,0,0,2,1,0,0,phi,"Wallace, Tyrone",2,PG/SG,0,3300,2pt 1-2fg,0,lac,0,0,2019-01-01,False,5.03,113,119,2.0
34,1,0,22,16,17,13,uta,"Leonard, Kawhi",45,SF/PF,6,8900,45pt 6rb 1as 2to 16-22fg 13-17ft,0,tor,0,2,2019-01-01,False,35.43,122,116,53.0
35,4,1,23,11,0,0,por,"Hield, Buddy",27,SG/SF,5,6800,27pt 5rb 4as 1bl 2to 5trey 11-23fg,0,sac,5,2,2019-01-01,False,39.03,108,113,42.75
36,7,3,11,6,5,3,det,"Antetokounmpo, Giannis",15,SF/PF,8,11600,15pt 8rb 7as 1st 3bl 3to 6-11fg 3-5ft,1,mil,0,3,2019-01-01,False,26.38,121,98,42.0
37,2,1,12,4,7,5,por,"Bjelica, Nemanja",14,SF/PF,16,5200,14pt 16rb 2as 1bl 2to 1trey 4-12fg 5-7ft,0,sac,1,2,2019-01-01,False,35.95,108,113,40.0
38,0,0,15,9,7,7,tor,"Crowder, Jae",30,SF/PF,6,4100,30pt 6rb 1to 5trey 9-15fg 7-7ft,0,uta,5,1,2019-01-01,True,26.82,116,122,39.5
39,5,0,19,7,2,2,por,"Bogdanovic, Bogdan",19,SG/SF,5,5700,19pt 5rb 5as 3st 4to 3trey 7-19fg 2-2ft,3,sac,3,4,2019-01-01,False,35.55,108,113,38.25
40,3,0,15,7,6,5,phi,"Gallinari, Danilo",21,SF/PF,7,6700,21pt 7rb 3as 1st 2to 2trey 7-15fg 5-6ft,1,lac,2,2,2019-01-01,False,34.45,113,119,36.25
41,0,0,15,7,6,6,phi,"Harris, Tobias",21,SF/PF,6,7300,21pt 6rb 3st 1to 1trey 7-15fg 6-6ft,3,lac,1,1,2019-01-01,False,24.6,113,119,34.5
42,4,1,13,5,6,5,lac,"Butler, Jimmy",16,SG/SF,6,6900,16pt 6rb 4as 1bl 2to 1trey 5-13fg 5-6ft,0,phi,1,2,2019-01-01,True,29.32,119,113,31.0
43,2,2,9,4,2,2,sac,"Aminu, Al-Farouq",13,SF/PF,8,4900,13pt 8rb 2as 2bl 1to 3trey 4-9fg 2-2ft,0,por,3,1,2019-01-01,True,37.55,113,108,31.0
44,0,2,10,5,0,0,sac,"Harkless, Maurice",11,SF/PF,9,3700,11pt 9rb 2st 2bl 1to 1trey 5-10fg,2,por,1,1,2019-01-01,True,33.28,113,108,30.25
45,2,0,14,9,4,3,det,"Middleton, Khris",22,SG/SF,5,7000,22pt 5rb 2as 4to 1trey 9-14fg 3-4ft,0,mil,1,4,2019-01-01,False,28.02,121,98,29.75
46,1,0,16,7,3,2,den,"Knox, Kevin",18,SF/PF,4,5900,18pt 4rb 1as 1st 2trey 7-16fg 2-3ft,1,nyk,2,0,2019-01-01,True,38.7,108,115,27.5
47,1,2,11,6,0,0,uta,"Powell, Norman",14,SG/SF,3,3200,14pt 3rb 1as 2bl 2trey 6-11fg,0,tor,2,0,2019-01-01,False,22.15,122,116,24.25
48,3,1,11,4,0,0,por,"Shumpert, Iman",9,SG/SF,1,4300,9pt 1rb 3as 3st 1bl 1trey 4-11fg,3,sac,1,0,2019-01-01,False,24.6,108,113,23.25
49,1,1,10,5,2,1,nyk,"Craig, Torrey",13,SG/SF,4,3500,13pt 4rb 1as 1bl 2trey 5-10fg 1-2ft,0,den,2,0,2019-01-01,False,24.62,115,108,22.5
50,2,0,11,5,4,4,lac,"Redick, J.J.",18,SG/SF,0,5100,18pt 2as 2to 4trey 5-11fg 4-4ft,0,phi,4,2,2019-01-01,True,34.53,119,113,22.0
51,6,0,5,0,3,2,tor,"Ingles, Joe",2,SG/SF,6,5200,2pt 6rb 6as 2st 1to 0-5fg 2-3ft,2,uta,0,1,2019-01-01,True,34.03,116,122,22.0
52,2,0,12,7,1,1,den,"Hardaway Jr., Tim",16,SG/SF,2,6400,16pt 2rb 2as 3to 1trey 7-12fg 1-1ft,0,nyk,1,3,2019-01-01,True,37.52,108,115,20.5
53,0,1,4,4,0,0,lac,"Bolden, Jonah",9,PF,6,3100,9pt 6rb 1bl 1to 1trey 4-4fg,0,phi,1,1,2019-01-01,True,15.17,119,113,18.5
54,3,0,8,2,1,0,mil,"Bullock, Reggie",6,SG/SF,4,4000,6pt 4rb 3as 1st 2to 2trey 2-8fg 0-1ft,1,det,2,2,2019-01-01,True,26.68,98,121,17.5
55,2,0,6,3,0,0,lac,"Chandler, Wilson",7,SF/PF,4,3800,7pt 4rb 2as 1st 1to 1trey 3-6fg,1,phi,1,1,2019-01-01,True,26.67,119,113,17.0
56,2,0,6,2,0,0,por,"Jackson, Justin",5,SF/PF,3,3200,5pt 3rb 2as 2st 1to 1trey 2-6fg,2,sac,1,1,2019-01-01,False,23.97,108,113,15.75
57,2,0,10,3,0,0,mil,"Kennard, Luke",8,SG/SF,3,3500,8pt 3rb 2as 2trey 3-10fg,0,det,2,0,2019-01-01,True,20.07,98,121,15.75
58,0,1,7,4,0,0,nyk,"Lyles, Trey",9,SF/PF,3,3300,9pt 3rb 1bl 1trey 4-7fg,0,den,1,0,2019-01-01,False,9.1,115,108,15.25
59,1,0,3,2,0,0,det,"Brown, Sterling",4,SG/SF,2,3200,4pt 2rb 1as 3st 2-3fg,3,mil,0,0,2019-01-01,False,15.58,121,98,14.0
60,0,0,5,4,0,0,det,"Snell, Tony",9,SG/SF,2,3300,9pt 2rb 1to 1trey 4-5fg,0,mil,1,1,2019-01-01,False,17.75,121,98,11.5
61,0,0,4,2,2,2,nyk,"Hernangomez, Juan",8,SF/PF,2,5200,8pt 2rb 1to 2trey 2-4fg 2-2ft,0,den,2,1,2019-01-01,False,19.83,115,108,11.0
62,3,0,2,1,0,0,uta,"Anunoby, OG",2,SF/PF,2,3400,2pt 2rb 3as 1st 1-2fg,1,tor,0,0,2019-01-01,False,17.92,122,116,11.0
63,1,1,4,1,0,0,uta,"Green, Danny",2,SG/SF,4,4200,2pt 4rb 1as 1bl 1to 1-4fg,0,tor,0,1,2019-01-01,False,30.65,122,116,10.0
64,1,0,2,1,0,0,mil,"Robinson III, Glenn",2,SF/PF,0,3000,2pt 1as 2st 1-2fg,2,det,0,0,2019-01-01,True,7.08,98,121,7.5
65,1,0,6,1,1,1,lac,"Korkmaz, Furkan",3,SG/SF,2,3400,3pt 2rb 1as 1to 1-6fg 1-1ft,0,phi,0,1,2019-01-01,True,11.67,119,113,6.5
66,3,0,2,0,2,1,den,"Dotson, Damyean",1,SG/SF,0,3600,1pt 3as 0-2fg 1-2ft,0,nyk,0,0,2019-01-01,True,13.12,108,115,5.5
67,0,0,3,1,0,0,tor,"Sefolosha, Thabo",3,SF/PF,1,3400,3pt 1rb 1trey 1-3fg,0,uta,1,0,2019-01-01,True,9.0,116,122,4.75
68,0,0,4,1,0,0,tor,"Korver, Kyle",3,SG/SF,1,3300,3pt 1rb 1trey 1-4fg,0,uta,1,0,2019-01-01,True,18.03,116,122,4.75
69,1,0,1,1,0,0,sac,"Turner, Evan",2,SG/SF,1,3800,2pt 1rb 1as 1to 1-1fg,0,por,0,1,2019-01-01,True,14.33,113,108,4.25
70,1,0,0,0,0,0,uta,"Miles, C.J.",0,SG/SF,2,3400,0pt 2rb 1as,0,tor,0,0,2019-01-01,False,2.15,122,116,4.0
71,0,0,3,2,0,0,det,"Connaughton, Pat",4,SG/SF,0,3200,4pt 2-3fg,0,mil,0,0,2019-01-01,False,4.05,121,98,4.0
72,1,0,0,0,0,0,tor,"O'Neale, Royce",0,SF,0,3100,0pt 1as 1st,1,uta,0,0,2019-01-01,True,7.03,116,122,3.5
73,0,0,4,1,0,0,phi,"Scott, Mike",2,SF/PF,1,3300,2pt 1rb 1to 1-4fg,0,lac,0,1,2019-01-01,False,10.15,113,119,2.75
74,0,0,0,0,0,0,phi,"Thornwell, Sindarius",0,SG/SF,0,3000,0pt 1st,1,lac,0,0,2019-01-01,False,4.03,113,119,2.0
75,1,0,2,0,0,0,sac,"Stauskas, Nik",0,SG/SF,0,3100,0pt 1as 1to 0-2fg,0,por,0,1,2019-01-01,True,9.13,113,108,1.0
76,7,5,10,5,16,14,sac,"Nurkic, Jusuf",24,C,23,7500,24pt 23rb 7as 5st 5bl 4to 5-10fg 14-16ft,5,por,0,4,2019-01-01,True,37.55,113,108,82.75
77,15,3,16,8,3,2,nyk,"Jokic, Nikola",19,C,14,9800,19pt 14rb 15as 1st 3bl 5to 1trey 8-16fg 2-3ft,1,den,1,5,2019-01-01,False,34.48,115,108,68.0
78,3,3,19,9,12,8,lac,"Embiid, Joel",28,C,19,10200,28pt 19rb 3as 1st 3bl 5to 2trey 9-19fg 8-12ft,1,phi,2,5,2019-01-01,True,35.28,119,113,64.25
79,4,1,20,9,7,7,mil,"Griffin, Blake",29,PF/C,9,8500,29pt 9rb 4as 1st 1bl 6to 4trey 9-20fg 7-7ft,1,det,4,6,2019-01-01,True,33.12,98,121,49.25
80,1,0,15,9,7,7,uta,"Siakam, Pascal",28,PF/C,10,6100,28pt 10rb 1as 1to 3trey 9-15fg 7-7ft,0,tor,3,1,2019-01-01,False,32.22,122,116,44.5
81,2,0,14,9,5,2,phi,"Harrell, Montrezl",20,PF/C,10,6800,20pt 10rb 2as 9-14fg 2-5ft,0,lac,0,0,2019-01-01,False,20.97,113,119,37.0
82,2,0,11,6,6,5,den,"Kanter, Enes",17,C,12,5300,17pt 12rb 2as 6-11fg 5-6ft,0,nyk,0,0,2019-01-01,True,20.05,108,115,36.5
83,0,2,12,8,8,5,tor,"Favors, Derrick",21,PF/C,9,5100,21pt 9rb 2bl 8-12fg 5-8ft,0,uta,0,0,2019-01-01,True,27.43,116,122,36.25
84,0,2,13,7,5,4,det,"Lopez, Brook",25,C,3,5300,25pt 3rb 2bl 1to 7trey 7-13fg 4-5ft,0,mil,7,1,2019-01-01,False,30.27,121,98,35.75
85,2,0,13,6,10,4,nyk,"Millsap, Paul",16,PF/C,9,5400,16pt 9rb 2as 2st 6-13fg 4-10ft,2,den,0,0,2019-01-01,False,22.43,115,108,34.25
86,2,0,7,6,5,4,tor,"Gobert, Rudy",16,C,9,8000,16pt 9rb 2as 2st 6-7fg 4-5ft,2,uta,0,0,2019-01-01,True,32.25,116,122,34.25
87,1,1,9,6,3,3,den,"Kornet, Luke",19,PF/C,6,4600,19pt 6rb 1as 1bl 4trey 6-9fg 3-3ft,0,nyk,4,0,2019-01-01,True,26.98,108,115,32.0
88,1,0,12,6,5,3,mil,"Drummond, Andre",15,C,7,8600,15pt 7rb 1as 2st 1to 6-12fg 3-5ft,2,det,0,1,2019-01-01,True,30.27,98,121,28.75
89,3,1,8,2,1,1,den,"Vonleh, Noah",5,PF/C,14,6300,5pt 14rb 3as 1bl 1to 2-8fg 1-1ft,0,nyk,0,1,2019-01-01,True,34.33,108,115,28.5
90,3,1,10,3,4,1,uta,"Ibaka, Serge",8,PF/C,8,6000,8pt 8rb 3as 1st 1bl 1trey 3-10fg 1-4ft,1,tor,1,0,2019-01-01,False,29.93,122,116,27.0
91,3,0,14,2,2,1,por,"Cauley-Stein, Willie",5,C,11,7200,5pt 11rb 3as 1st 2-14fg 1-2ft,1,sac,0,0,2019-01-01,False,32.57,108,113,25.25
92,2,0,5,4,0,0,nyk,"Plumlee, Mason",8,PF/C,7,5000,8pt 7rb 2as 2st 4-5fg,2,den,0,0,2019-01-01,False,23.78,115,108,23.75
93,2,1,5,3,0,0,mil,"Leuer, Jon",6,PF/C,9,3100,6pt 9rb 2as 1bl 1to 3-5fg,0,det,0,1,2019-01-01,True,25.2,98,121,21.75
94,2,2,5,2,4,3,uta,"Monroe, Greg",7,C,6,3200,7pt 6rb 2as 2bl 1to 2-5fg 3-4ft,0,tor,0,1,2019-01-01,False,18.07,122,116,21.0
95,2,0,4,1,4,4,phi,"Gortat, Marcin",6,C,7,3300,6pt 7rb 2as 2st 2to 1-4fg 4-4ft,2,lac,0,2,2019-01-01,False,22.13,113,119,20.75
96,2,0,7,4,0,0,lac,"Muscala, Mike",10,PF/C,5,3700,10pt 5rb 2as 1to 2trey 4-7fg,0,phi,2,1,2019-01-01,True,12.72,119,113,19.75
97,0,1,5,3,0,0,por,"Giles, Harry",6,PF/C,7,3000,6pt 7rb 1st 1bl 1to 3-5fg,1,sac,0,1,2019-01-01,False,13.27,108,113,18.25
98,1,0,2,1,3,1,det,"Maker, Thon",3,PF/C,5,3200,3pt 5rb 1as 1st 1to 1-2fg 1-3ft,1,mil,0,1,2019-01-01,False,17.73,121,98,12.25
99,1,0,7,2,0,0,sac,"Collins, Zach",4,PF/C,4,3200,4pt 4rb 1as 1to 2-7fg,0,por,0,1,2019-01-01,True,15.0,113,108,10.0
100,1,0,2,0,0,0,det,"Wilson, D.J.",0,PF/C,5,3600,0pt 5rb 1as 0-2fg,0,mil,0,0,2019-01-01,False,17.23,121,98,7.75
101,1,0,2,1,0,0,por,"Koufos, Kosta",2,PF/C,3,3100,2pt 3rb 1as 1to 1-2fg,0,sac,0,1,2019-01-01,False,7.03,108,113,6.75
102,1,0,2,0,0,0,sac,"Leonard, Meyers",0,PF/C,3,3300,0pt 3rb 1as 2to 0-2fg,0,por,0,2,2019-01-01,True,15.45,113,108,4.25
103,0,0,1,0,0,0,det,"Smith, Jason",0,PF/C,2,3000,0pt 2rb 0-1fg,0,mil,0,0,2019-01-01,False,4.05,121,98,2.5
104,1,0,1,0,0,0,phi,"Marjanovic, Boban",0,C,1,3600,0pt 1rb 1as 2to 0-1fg,0,lac,0,2,2019-01-01,False,4.13,113,119,1.75
105,10,2,20,3,10,7,lal,"Westbrook, Russell",14,PG,16,11700,14pt 16rb 10as 2st 2bl 4to 1trey 3-20fg 7-10ft,2,okc,1,4,2019-01-02,True,35.98,107,100,58.5
106,13,1,21,9,2,2,nor,"Russell, D'Angelo",22,PG/SG,5,7000,22pt 5rb 13as 2st 1bl 1to 2trey 9-21fg 2-2ft,2,bkn,2,1,2019-01-02,False,34.77,126,121,55.75
107,8,0,22,10,17,15,phi,"Booker, Devin",37,PG/SG,2,8300,37pt 2rb 8as 3to 2trey 10-22fg 15-17ft,0,pho,2,3,2019-01-02,False,35.35,127,132,51.0
108,7,0,10,5,6,3,atl,"Satoransky, Tomas",14,PG/SG,11,4600,14pt 11rb 7as 2st 1to 1trey 5-10fg 3-6ft,2,was,1,1,2019-01-02,False,36.63,114,98,43.75
109,6,0,20,9,3,3,atl,"Beal, Bradley",24,SG,4,8600,24pt 4rb 6as 2st 3to 3trey 9-20fg 3-3ft,2,was,3,3,2019-01-02,False,36.1,114,98,42.0
110,6,1,11,7,23,15,pho,"Simmons, Ben",29,PG/SF,3,8900,29pt 3rb 6as 1bl 4to 7-11fg 15-23ft,0,phi,0,4,2019-01-02,True,40.3,132,127,41.75
111,2,1,16,5,4,2,okc,"Hart, Josh",13,PG/SG,15,5300,13pt 15rb 2as 1st 1bl 1to 1trey 5-16fg 2-4ft,1,lal,1,1,2019-01-02,False,37.72,100,107,40.25
112,5,1,21,8,2,1,okc,"Ingram, Brandon",17,PG/SG,11,6400,17pt 11rb 5as 1bl 4to 8-21fg 1-2ft,0,lal,0,4,2019-01-02,False,40.72,100,107,39.75
113,5,1,10,6,2,2,min,"Rozier, Terry",16,PG/SG,3,5300,16pt 3rb 5as 5st 1bl 2to 2trey 6-10fg 2-2ft,5,bos,2,2,2019-01-02,False,32.47,115,102,39.25
114,5,2,11,6,0,0,mem,"Jackson, Reggie",16,PG/SG,7,4700,16pt 7rb 5as 1st 2bl 4to 4trey 6-11fg,1,det,4,4,2019-01-02,True,31.47,101,94,38.25
115,7,0,15,10,4,3,bkn,"Payton, Elfrid",25,PG,2,5300,25pt 2rb 7as 4to 2trey 10-15fg 3-4ft,0,nor,2,4,2019-01-02,True,33.57,121,126,37.0
116,7,0,10,6,4,3,cha,"Smith Jr., Dennis",18,PG,0,4800,18pt 7as 3st 2to 3trey 6-10fg 3-4ft,3,dal,3,2,2019-01-02,True,22.28,122,84,35.0
117,9,0,14,7,0,0,bos,"Jones, Tyus",14,PG,1,5600,14pt 1rb 9as 4st 4to 7-14fg,4,min,0,4,2019-01-02,True,40.07,102,115,34.75
118,4,0,16,8,2,1,bkn,"Holiday, Jrue",20,PG/SG,4,8300,20pt 4rb 4as 1st 3to 3trey 8-16fg 1-2ft,1,nor,3,3,2019-01-02,True,37.15,121,126,33.0
119,4,0,10,6,4,3,cle,"Johnson, Tyler",16,PG/SG,4,5200,16pt 4rb 4as 3st 3to 1trey 6-10fg 3-4ft,3,mia,1,3,2019-01-02,True,26.22,117,92,32.0
120,4,0,12,6,1,1,orl,"Dunn, Kris",14,PG/SG,3,6400,14pt 3rb 4as 3st 2to 1trey 6-12fg 1-1ft,3,chi,1,2,2019-01-02,False,27.73,84,112,29.25
121,7,0,11,3,4,4,cle,"Winslow, Justise",10,PG/SF,4,6900,10pt 4rb 7as 1st 1to 3-11fg 4-4ft,1,mia,0,1,2019-01-02,True,27.13,117,92,27.0
122,6,0,13,4,4,1,lal,"Schroder, Dennis",10,PG/SG,7,5400,10pt 7rb 6as 3to 1trey 4-13fg 1-4ft,0,okc,1,3,2019-01-02,True,29.4,107,100,26.75
123,1,1,9,7,2,1,det,"Anderson, Kyle",15,PG/SF,5,5100,15pt 5rb 1as 1bl 2to 7-9fg 1-2ft,0,mem,0,2,2019-01-02,False,30.98,94,101,23.75
124,7,2,4,1,5,1,okc,"Ball, Lonzo",3,PG,4,7200,3pt 4rb 7as 1st 2bl 2to 1-4fg 1-5ft,1,lal,0,2,2019-01-02,False,35.27,100,107,23.5
125,5,0,7,2,4,3,was,"Lin, Jeremy",8,PG/SG,2,3900,8pt 2rb 5as 3st 2to 1trey 2-7fg 3-4ft,3,atl,1,2,2019-01-02,True,19.97,98,114,23.5
126,4,0,12,5,6,6,nor,"Dinwiddie, Spencer",18,PG/SG,0,7200,18pt 4as 3to 2trey 5-12fg 6-6ft,0,bkn,2,3,2019-01-02,False,24.68,126,121,23.5
127,4,0,15,5,0,0,mia,"Sexton, Collin",12,PG,4,5200,12pt 4rb 4as 1to 2trey 5-15fg,0,cle,2,1,2019-01-02,False,30.02,92,117,23.5
128,3,0,10,6,5,4,orl,"LaVine, Zach",16,PG/SG,3,6600,16pt 3rb 3as 2to 6-10fg 4-5ft,0,chi,0,2,2019-01-02,False,28.03,84,112,23.25
129,2,0,14,5,0,0,orl,"Harrison, Shaquille",11,PG,3,3200,11pt 3rb 2as 3st 2to 1trey 5-14fg,3,chi,1,2,2019-01-02,False,26.03,84,112,23.25
130,6,0,7,4,2,1,chi,"Augustin, D.J.",10,PG,2,4300,10pt 2rb 6as 1st 2to 1trey 4-7fg 1-2ft,1,orl,1,2,2019-01-02,True,25.45,112,84,23.0
131,9,1,8,2,0,0,was,"Young, Trae",5,PG,3,6500,5pt 3rb 9as 1bl 4to 1trey 2-8fg,0,atl,1,4,2019-01-02,True,27.63,98,114,22.75
132,3,1,6,3,4,3,phi,"Melton, De'Anthony",10,PG,3,3600,10pt 3rb 3as 2st 1bl 4to 1trey 3-6fg 3-4ft,2,pho,1,4,2019-01-02,False,22.67,127,132,22.75
133,5,0,14,4,4,3,dal,"Walker, Kemba",11,PG,3,9000,11pt 3rb 5as 4-14fg 3-4ft,0,cha,0,0,2019-01-02,False,26.7,84,122,22.25
134,6,0,10,3,2,2,det,"Mack, Shelvin",8,PG,4,3200,8pt 4rb 6as 3-10fg 2-2ft,0,mem,0,0,2019-01-02,False,22.68,94,101,22.0
135,6,0,7,3,2,1,pho,"McConnell, T.J.",7,PG/SG,4,3600,7pt 4rb 6as 1st 2to 3-7fg 1-2ft,1,phi,0,2,2019-01-02,True,28.0,132,127,22.0
136,4,0,11,5,0,0,nor,"Napier, Shabazz",12,PG/SG,3,3700,12pt 3rb 4as 2to 2trey 5-11fg,0,bkn,2,2,2019-01-02,False,24.13,126,121,21.75
137,5,1,9,4,0,0,mia,"Clarkson, Jordan",11,PG/SG,0,5600,11pt 5as 1bl 2to 3trey 4-9fg,0,cle,3,2,2019-01-02,False,24.68,92,117,21.0
138,8,0,2,1,0,0,min,"Smart, Marcus",2,PG/SG,3,4300,2pt 3rb 8as 2st 2to 1-2fg,2,bos,0,2,2019-01-02,False,22.25,115,102,20.75
139,6,0,5,2,0,0,cha,"Barea, Jose",5,PG/SG,2,4600,5pt 2rb 6as 1st 1trey 2-5fg,1,dal,1,0,2019-01-02,True,13.72,122,84,19.0
140,1,0,8,4,0,0,mem,"Galloway, Langston",11,PG/SG,0,3200,11pt 1as 2st 3trey 4-8fg,2,det,3,0,2019-01-02,True,18.75,101,94,18.0
141,2,0,13,3,2,2,dal,"Graham, Devonte",10,PG/SG,1,3400,10pt 1rb 2as 2st 3to 2trey 3-13fg 2-2ft,2,cha,2,3,2019-01-02,False,33.6,84,122,17.75
142,2,0,5,3,0,0,phi,"Okobo, Elie",9,PG,1,3000,9pt 1rb 2as 2st 2to 3trey 3-5fg,2,pho,3,2,2019-01-02,False,17.72,127,132,17.75
143,1,0,6,3,1,0,atl,"Randle, Chasson",7,PG/SG,3,3200,7pt 3rb 1as 3st 2to 1trey 3-6fg 0-1ft,3,was,1,2,2019-01-02,False,17.25,114,98,17.75
144,1,0,12,5,2,0,orl,"Blakeney, Antonio",11,PG/SG,4,3100,11pt 4rb 1as 1to 1trey 5-12fg 0-2ft,0,chi,1,1,2019-01-02,False,24.43,84,112,17.5
